Menu/MLP_logo_file	ru/RUS_MLP_logo.png
Brighthouse/Q2/TOOFAR/BH_Q2_TOOFAR_01_GP_HC_01	Эти кролики сами себя не пригонят, Санни!
Brighthouse/Q3/START/BH_Q3_START_13_CVS_HC_09	Поэтому я загородил ворота вот этими коробками.
Mainstreet/End/EV_05/MS_End_EV_05_01_CS_Sprout_01	Ты... Вы...
Mainstreet/End/EV_05/MS_End_EV_05_02_CS_SN_01	Эй... Не бойся. Мы не причиним тебе вреда.
Mainstreet/End/EV_05/MS_End_EV_05_03_CS_Sprout_02	Вы... Правда?
Mainstreet/End/EV_05/MS_End_EV_05_04_CS_SN_02	Да. Мы просто хотим, чтобы все наладилось!
Mainstreet/End/EV_05/MS_End_EV_05_05_CS_Sprout_03	Но я тоже этого хочу!
Mainstreet/End/EV_05/MS_End_EV_05_06_CS_Sprout_04	Последние месяцы были невыносимыми... повсюду волшебство и странные пони. Я... Я просто...
Mainstreet/End/EV_05/MS_End_EV_05_07_CS_HC_01	Спраут... Бывает трудно, когда что-то меняется. Особенно если ты не можешь это контролировать.
Mainstreet/End/EV_05/MS_End_EV_05_08_CS_ZP_01	Но иногда изменения ведут к лучшему. Они делают нас лучше, если мы принимаем их всем сердцем.
Mainstreet/End/EV_05/MS_End_EV_05_09_CS_SN_03	Зипп, твои крылья!
Mainstreet/End/EV_05/MS_End_EV_05_10_CS_IZ_01	О-о-ох! Магия возвращается!
Mainstreet/End/EV_05/MS_End_EV_05_11_CS_BH_01	
Mainstreet/End/EV_05/MS_End_EV_05_12_CS_PP_01	Иногда изменения делают все прекраснее, как макияж.
Mainstreet/End/EV_05/MS_End_EV_05_13_CS_IZ_02	Или блестки!
Mainstreet/End/EV_05/MS_End_EV_05_14_CS_SN_04	Или новый друг!
Mainstreet/End/EV_05/MS_End_EV_05_15_CS_Sprout_05	Пожалуй, я слегка перенервничал, а... Так вы на меня не злитесь?
Mainstreet/End/EV_05/MS_End_EV_05_16_CS_HC_02	Ну... Если в Игогойском заливе снова воцарится мир...
Mainstreet/End/EV_05/MS_End_EV_05_17_CS_SN_05	Воцарится и дружба
Mainstreet/End/EV_05/MS_End_EV_05_18_CS_IZ_03	А дружба — это НАСТОЯЩАЯ магия!
Mainstreet/End/EV_05/MS_End_EV_05_19_CS_PP_02	Эй, Спраут... У меня есть идея, как тебя развеселить!
Mainstreet/End/EV_05/MS_End_EV_05_20_CS_ZP_02	Нет. Нет, нет, нет!
Mainstreet/End/EV_05/MS_End_EV_05_21_CS_PP_03	Станцуем!
Mainstreet/INTRO/EV_01/MS_INTRO_EV_01_01_CS_Narrator_01	
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_01_CS_PP_01	Это Загривный проспект — центр Игогойского залива!
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_02_CS_HC_01	
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_03_CS_PP_02	Ах... Приветствуем, пони! Хотите сказочное зрелище?
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_04_CS_SN_01	Ах... Да?!
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_05_CS_IZ_01	Да, точно!
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_06_CS_PP_03	Тогда смотрите Пипп-пипп-парад!
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_07_CS_Bystanders_01	Пипп-пипп-парад!!
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_08_CS_PP_04	Там будет весь город!
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_09_CS_SN_02	Да! И мы тебя поддержим!
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_10_CS_IZ_02	Я принесу кучу блесток!
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_11_CS_HC_02	А я... Я напишу КЛЕВУЮ песню, припев будет таким...
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_12_CS_PP_05	
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_13_CS_HC_03	Да, я приду. Я фанат!
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_14_CS_PP_06	Здорово! До встречи там, девчонки!
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_15_CS_HC_04	Уф...
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_16_CS_IZ_03	Я подготовлю декорации! До встречи!
Mainstreet/INTRO/EV_02/MS_INTRO_EV_02_17_CS_HC_05	А я буду стоять на страже у входа в городской парк.
Mainstreet/M5S/EV_01/MS_M5S_EV_01_02_CS_ZP_01	Эй, Санни...
Mainstreet/M5S/EV_01/MS_M5S_EV_01_03_CS_SN_02	Спраут зашел в старый завод «КантерЛогика»! Нужно заставить его выйти оттуда!
Mainstreet/M5S/EV_01/MS_M5S_EV_01_04_CVS_PP_01	Но все пони города нас сейчас терпеть не могут. Зачем нам это?
Mainstreet/M5S/EV_01/MS_M5S_EV_01_05_CVS_IZ_01	Это ошибка. Мы все друзья.
Mainstreet/M5S/EV_01/MS_M5S_EV_01_06_CVS_SN_03	Нам просто нужно поймать Спраута, чтобы он все объяснил всем пони.
Mainstreet/M5S/EV_01/MS_M5S_EV_01_07_CVS_ZP_02	Но мы не можем летать без магии.
Mainstreet/M5S/EV_01/MS_M5S_EV_01_08_CVS_PP_02	А раньше здесь было хорошо...
Mainstreet/M5S/EV_01/MS_M5S_EV_01_09_CVS_PP_03	Нам, наверное, лучше вернуться на Зефирные горы вместе с мамой.
Mainstreet/M5S/EV_01/MS_M5S_EV_01_10_CVS_ZP_03	Там пони нас не ненавидят.
Mainstreet/M5S/EV_01/MS_M5S_EV_01_11_CVS_SN_04	Это неправильно. Нам нужно это исправить!
Mainstreet/M5S/EV_01/MS_M5S_EV_01_12_CVS_HC_01	Нужно что-то делать. Но как же нам обойти эти ворота?
Mainstreet/M5S/EV_01/MS_M5S_EV_01_13_CVS_SN_05	Я осмотрюсь, может, увижу что-нибудь...
Mainstreet/M5S/EV_02/MS_M5S_EV_02_01_CVS_IZ_01	Санни... Мне тоже стоит уехать из города? Может, так будет лучше.
Mainstreet/M5S/EV_02/MS_M5S_EV_02_02_CVS_SN_01	Нет! Должен быть способ обойти эти ворота.
Mainstreet/M5S/EV_03/MS_M5S_EV_03_01_CVS_ZP_01	Спасибо, что пытаешься, Санни.
Mainstreet/M5S/EV_03/MS_M5S_EV_03_02_CVS_PP_01	Но уже слишком поздно.
Mainstreet/M5S/EV_03/MS_M5S_EV_03_03_CVS_SN_01	Помочь другу никогда не поздно.
Mainstreet/M5S/EV_04/MS_M5S_EV_04_01_GP_SN_01	Если я разбегусь по склону очень быстро...
Mainstreet/M5S/EV_04/MS_M5S_EV_04_02_GP_SN_02	Ролики!
Mainstreet/M5S/EV_05/MS_M5S_EV_05_01_GP_SN_01	Ворота не открываются... Должен быть путь внутрь.
Mainstreet/M5S/EV_06/MS_M5S_EV_06_01_CVS_HC_01	Я не хочу нарушать закон, но если найдешь способ перепрыгнуть через забор...
Mainstreet/M5S/EV_06/MS_M5S_EV_06_02_CVS_HC_02	Я сделаю вид, что не заметил.
Mainstreet/M5S/EV_06/MS_M5S_EV_06_03_CVS_SN_01	Перепрыгнуть через забор? Хм-м-м...
Mainstreet/M5S/TOOFAR/MS_M5S_TOOFAR_01_GP_SN_01	Я не могу уйти, мои друзья рассчитывают на меня...
Mainstreet/MF/ACCEPTED/MS_MF_ACCEPTED_01_CVS_PP_01	Представление начинается, детка!
Mainstreet/MF/ACCEPTED/MS_MF_ACCEPTED_02_CVS_PP_02	Одевайся. У нас уже нет времени!
Mainstreet/MF/COMP/MS_MF_COMP_01_CVS_PP_01	Вот это движения, Санни!
Mainstreet/MF/COMP/MS_MF_COMP_02_CVS_PP_02	А я и не знала, что ты на такое способна.
Mainstreet/MF/COMP/MS_MF_COMP_03_CVS_SN_01	Я тоже! Ты прекрасный учитель танцев!
Mainstreet/MF/COMP/MS_MF_COMP_04_CVS_PP_03	Вот, это тебе, в знак благодарности!
Mainstreet/MF/COMP/MS_MF_COMP_05_CVS_PP_04	Значок Дня Игогойского залива!
Mainstreet/MF/COMP/MS_MF_COMP_06_CVS_PP_05	Теперь ты можешь пойти в городской парк гонять кроликов.
Mainstreet/MF/COMP/MS_MF_COMP_07_CVS_SN_02	День Игогойского залива мне нравится все больше и больше...
Mainstreet/MF/DECLINED/MS_MF_DECLINED_01_CVS_PP_01	Не медли! Зрители ждут!
Mainstreet/MF/QUESTION/MS_MF_QUESTION_01_CVS_PP_01	У тебя превосходно получится! Готова танцевать?
Mainstreet/MF/REPACPTD/MS_MF_REPACPTD_01_CVS_SN_01	Конечно! Почему бы и нет!
Mainstreet/MF/REPDCLND/MS_MF_REPDCLND_01_CVS_SN_01	Может, попозже.
Mainstreet/MF/REPEAT/MS_MF_REPEAT_01_CVS_PP_01	Эй, Санни! Хочешь еще потанцевать?
Mainstreet/MF/START/MS_MF_START_01_CVS_PP_01	Одежду? Но мне нужна танцовщица для шоу!
Mainstreet/MF/START/MS_MF_START_02_CVS_SN_01	Хочешь, я найду тебе танцовщицу?
Mainstreet/MF/START/MS_MF_START_03_CVS_PP_02	Нет! Я уже нашла превосходную танцовщицу. Она прямо передо мной.
Mainstreet/MF/START/MS_MF_START_04_CVS_SN_02	Ну, я...
Mainstreet/MR/EV_01/MS_MR_EV_01_01_GP_SN_01	Спраут! Не убегай. Мы еще можем все исправить.
Mainstreet/MR/EV_01/MS_MR_EV_01_02_GP_Sprout_01	Попробуй, исправь это!
Mainstreet/MR/EV_02/MS_MR_EV_02_01_CS_HC_01	Санни! Кролики помешают ему, но береги себя!
Mainstreet/MR/EV_02/MS_MR_EV_02_02_GP_SN_01	Я буду осторожна!
Mainstreet/MR/EV_02/MS_MR_EV_02_03_GP_SN_02	Ой, ну почему?!
Mainstreet/MR/EV_02/MS_MR_EV_02_04_GP_Sprout_01	Да!
Mainstreet/MR/EV_02/MS_MR_EV_02_05_GP_Sprout_02	Откуда они взялись?!
Mainstreet/MR/EV_03/MS_MR_EV_03_01_GP_Sprout_01	Вы меня никогда не поймаете!
Mainstreet/MR/EV_03/MS_MR_EV_03_02_GP_SN_01	Что происходит?
Mainstreet/MR/EV_03/MS_MR_EV_03_03_CS_PP_01	Мы отвлечем его, Санни! Лови его!
Mainstreet/MR/EV_03/MS_MR_EV_03_04_CS_ZP_01	С магией или без, мы не оставим друзей!
Mainstreet/MR/EV_03/MS_MR_EV_03_05_CS_SN_02	Я вас не подведу!
Mainstreet/MR/EV_04/MS_MR_EV_04_01_CS_Sprout_01	ОСТАНОВИТЕСЬ уже!
Mainstreet/MR/EV_04/MS_MR_EV_04_02_CS_IZ_01	Я как раз хотела сказать.
Mainstreet/MR/EV_07/MS_MR_EV_07_01_GP_SN_01	Я приближаюсь!
Mainstreet/MR/EV_08/MS_MR_EV_08_01_GP_SN_01	Да!
Mainstreet/MR/EV_09/MS_MR_EV_09_01_GP_Sprout_01	Нет!
Mainstreet/MR/EV_10/MS_MR_EV_10_01_GP_Sprout_01	Тебе просто повезло.
Mainstreet/MR/EV_11/MS_MR_EV_11_01_GP_Sprout_01	Ха-ха!
Mainstreet/MR/EV_12/MS_MR_EV_12_01_GP_Sprout_01	Получай!
Mainstreet/MR/EV_13/MS_MR_EV_13_01_GP_Sprout_01	Ой!
Mainstreet/MR/REPACPTD/MS_MR_REPACPTD_01_CVS_SN_01	Думаешь, будет весело?
Mainstreet/MR/REPDCLND/MS_MR_REPDCLND_01_CVS_SN_01	Может, в следующий раз.
Mainstreet/MR/REPEAT/MS_MR_REPEAT_01_CVS_Sprout_01	Эй, Санни, а ты хочешь... Еще раз поучаствовать в гонке?
Mainstreet/MR/REPEAT/MS_MR_REPEAT_02_CVS_Sprout_02	Я могу «притвориться» и дать тебе снова меня поймать. Я умею притворяться.
Mainstreet/MR/START/MS_MR_START_01_CS_SN_01	А-а-а-а-а-а-а-а
Mainstreet/Q11/ACCEPTED/MS_Q11_ACCEPTED_04_CVS_SN_01	Вперед!
Mainstreet/Q11/BLK/MS_Q11_BLK_01_GP_BigBunny_01	*nobox*
Mainstreet/Q11/BLK/MS_Q11_BLK_02_GP_Bunnies_01	*nobox*
Mainstreet/Q11/BLK/MS_Q11_BLK_03_GP_SN_01	Не думаю, что меня пустят туда.
Mainstreet/Q11/COMP/MS_Q11_COMP_01_CS_HC_01	Вот и все, вымогатель.
Mainstreet/Q11/COMP/MS_Q11_COMP_02_CS_BigBunny_01	*nobox*
Mainstreet/Q11/COMP/MS_Q11_COMP_03_CS_Bunnies_01	*nobox*
Mainstreet/Q11/COMP/MS_Q11_COMP_04_CS_SN_01	Неужели он вот так бросил своих друзей?
Mainstreet/Q11/COMP/MS_Q11_COMP_05_CS_HC_02	Не думаю, что у него есть настоящие друзья, Санни.
Mainstreet/Q11/COMP/MS_Q11_COMP_06_CS_Bunnies_02	*nobox*
Mainstreet/Q11/COMP/MS_Q11_COMP_07_CS_SN_02	Ну, вы всегда можете положиться на нас, ребята!
Mainstreet/Q11/COMP/MS_Q11_COMP_08_CS_Bunnies_03	*nobox*
Mainstreet/Q11/DECLINED/MS_Q11_DECLINED_05_CVS_SN_01	Может, попозже...
Mainstreet/Q11/EV_01/MS_Q11_EV_01_01_CVS_SmoothieShop_01	Исключительно освежающие, да? Точно! Но они требуют особого обращения...
Mainstreet/Q11/EV_01/MS_Q11_EV_01_02_CVS_SmoothieShop_02	Их нужно доставить супербыстро, иначе они испортятся быстрее, чем ты скажешь «Мои копыта»!
Mainstreet/Q11/EV_02/MS_Q11_EV_02_01_CVS_BigBunny_01	*nobox*
Mainstreet/Q11/EV_02/MS_Q11_EV_02_02_CVS_HC_01	Что? Еще одно «условие»?
Mainstreet/Q11/EV_02/MS_Q11_EV_02_03_CVS_HC_02	Теперь он хочет «крутые солнечные очки»...
Mainstreet/Q11/EV_02/MS_Q11_EV_02_04_CVS_SN_01	Крутые солнечные очки? Уф... Ладно.
Mainstreet/Q11/EV_03/MS_Q11_EV_03_01_CVS_FashionPony_01	О, это снова ты. Хочешь солнечные очки, да?
Mainstreet/Q11/EV_03/MS_Q11_EV_03_02_CVS_FashionPony_02	Это просто. Я умудрилась испортить твой цветок... Можешь его оживить?
Mainstreet/Q11/EV_03/MS_Q11_EV_03_03_CVS_SN_01	Ох... Конечно!
Mainstreet/Q11/EV_04/MS_Q11_EV_04_05_CVS_HC_01	Хорошо. Можешь идти.
Mainstreet/Q11/EV_04/MS_Q11_EV_04_06_CVS_BigBunny_01	*nobox*
Mainstreet/Q11/EV_04/MS_Q11_EV_04_07_CVS_HC_02	Он говорит, у него осталось ОДНО последнее условие.
Mainstreet/Q11/EV_04/MS_Q11_EV_04_08_CVS_BigBunny_02	*nobox*
Mainstreet/Q11/EV_04/MS_Q11_EV_04_09_CVS_HC_03	Три шарика?? Но для чего?
Mainstreet/Q11/EV_04/MS_Q11_EV_04_10_CVS_BigBunny_03	*nobox*
Mainstreet/Q11/EV_04/MS_Q11_EV_04_11_CVS_HC_04	Ах, ладно... Три шарика, ага.
Mainstreet/Q11/EV_04/MS_Q11_EV_04_12_CVS_SN_01	Значит, три шарика. Не вопрос...
Mainstreet/Q11/EV_05/MS_Q11_EV_05_01_GP_SN_01	Один шарик есть, нужно еще два!
Mainstreet/Q11/EV_06/MS_Q11_EV_06_01_GP_SN_01	Остался еще один. Где-то я уже видела шарик, но где?
Mainstreet/Q11/EV_07/MS_Q11_EV_07_01_GP_SN_01	И все три. Отнесу их ему.
Mainstreet/Q11/EV_08/MS_Q11_EV_08_01_GP_SN_01	Нужно проверить, как дела у Зипп в летной школе в Пляжной бухте.
Mainstreet/Q11/EV_09/MS_Q11_EV_09_04_GP_FashionPony_01	Спасибо! Вот!
Mainstreet/Q11/MID_01/MS_Q11_MID_01_01_GP_HC_01	Надо, чтобы смузи были очень освежающие, Санни.
Mainstreet/Q11/MID_02/MS_Q11_MID_02_01_GP_HC_01	Ты можешь найти крутые солнечные очки в ближайшем магазине.
Mainstreet/Q11/MID_03/MS_Q11_MID_03_01_GP_HC_01	Я видел шарики на Загривном проспекте. Отправляйся туда, Санни.
Mainstreet/Q11/POST_01/MS_Q11_POST_01_01_GP_SmoothieShop_01	Смузи! Освежающие и СУПЕРСКИ освежающие! У вас от них замерзнут гривы!
Mainstreet/Q11/POST_02/MS_Q11_POST_02_01_GP_FashionPony_01	Постараюсь не загубить этот цветок...
Mainstreet/Q11/PRE_01/MS_Q11_PRE_01_01_GP_SmoothieShop_01	Суперски освежающие смузи! Не дайте им растаять!
Mainstreet/Q11/PRE_02/MS_Q11_PRE_02_01_GP_FashionPony_01	Стильные очки любого вида и размера! Примерьте их!
Mainstreet/Q11/PRE_03/MS_Q11_PRE_03_01_GP_ScaredNPC_01	Эти кролики, загородившие проход к Пляжной бухте, явно замышляют что-то плохое.
Mainstreet/Q11/QUESTION/MS_Q11_QUESTION_03_CVS_SmoothieShop_01	Готова?
Mainstreet/Q11/RETACPTD/MS_Q11_RETACPTD_08_CVS_SN_01	Вперед!
Mainstreet/Q11/RETDCLND/MS_Q11_RETDCLND_07_CVS_SN_01	Может, попозже...
Mainstreet/Q11/RETRY/MS_Q11_RETRY_06_CVS_SmoothieShop_01	Он был недостаточно освежающим. Попробуем еще раз?
Mainstreet/Q11/START/MS_Q11_START_01_CS_Big Bunny_01	*nobox*
Mainstreet/Q11/START/MS_Q11_START_02_CS_Bunnies_01	*nobox*
Mainstreet/Q11/START/MS_Q11_START_03_CS_HC_01	Все пони, успокойтесь! Что происходит?
Mainstreet/Q11/START/MS_Q11_START_04_CS_Bunnies_02	*nobox*
Mainstreet/Q11/START/MS_Q11_START_05_CS_SN_01	Что они говорят?
Mainstreet/Q11/START/MS_Q11_START_06_CS_HC_02	Его зовут Марсель... И он ставит условия.
Mainstreet/Q11/START/MS_Q11_START_07_CS_HC_03	Он говорит, что они захватили дорогу и не сдвинутся с места, пока не получат то, чего хотят.
Mainstreet/Q11/START/MS_Q11_START_08_CS_BigBunny_02	*nobox*
Mainstreet/Q11/START/MS_Q11_START_09_CS_Bunnies_03	*nobox*
Mainstreet/Q11/START/MS_Q11_START_10_CS_SN_02	И чего они хотят?
Mainstreet/Q11/START/MS_Q11_START_11_CS_BigBunny_03	*nobox*
Mainstreet/Q11/START/MS_Q11_START_12_CS_HC_04	Он «требует» исключительно освежающие смузи.
Mainstreet/Q11/START/MS_Q11_START_13_CS_BigBunny_04	*nobox*
Mainstreet/Q11/START/MS_Q11_START_14_CS_Bunnies_04	*nobox*
Mainstreet/Q11/START/MS_Q11_START_15_CS_HC_05	Можешь найти его? А я за ними присмотрю.
Mainstreet/Q11/START/MS_Q11_START_16_CS_SN_03	Исключительно освежающие смузи! Одну минуту!
Mainstreet/Q11/TOOFAR/MS_Q11_TOOFAR_01_GP_SN_01	Хитчу нужна моя помощь, чтобы справиться с бандой кроликов.
Mainstreet/Q16/BLK/MS_Q16_BLK_01_GP_Canterlogic Guard_01	Завод закрыт... Идет ремонт.
Mainstreet/Q16/COMP/MS_Q16_COMP_01_CVS_Crowd2_02	Пегасы, уходите прочь!
Mainstreet/Q16/COMP/MS_Q16_COMP_02_CVS_Crowd3_02	Единорогам здесь не место.
Mainstreet/Q16/COMP/MS_Q16_COMP_03_CVS_SN_01	Все пони, прекратите!
Mainstreet/Q16/COMP/MS_Q16_COMP_04_CVS_Crowd_01	
Mainstreet/Q16/COMP/MS_Q16_COMP_05_CVS_SN_02	Неужели не понимаете, что вы делаете?
Mainstreet/Q16/COMP/MS_Q16_COMP_06_CVS_SN_03	У пегасов и единорогов такие же копыта, сердца и мечты, как и у вас.
Mainstreet/Q16/COMP/MS_Q16_COMP_07_CVS_SN_04	Они не чужие! Они наши соседи и друзья!
Mainstreet/Q16/COMP/MS_Q16_COMP_08_CVS_SN_05	Пегасы, единороги и земные пони вместе возродили магию и принесли счастье нам всем!
Mainstreet/Q16/COMP/MS_Q16_COMP_09_CVS_Crowd2_03	Мне нравится магия.
Mainstreet/Q16/COMP/MS_Q16_COMP_10_CVS_Crowd1_02	Ага, мне тоже!
Mainstreet/Q16/COMP/MS_Q16_COMP_11_CVS_SN_06	Какой-то пони угрожает этой магии, и вместе мы сможем его поймать!
Mainstreet/Q16/COMP/MS_Q16_COMP_12_CVS_Crowd3_03	Пони на высокой платформе говорит правду!
Mainstreet/Q16/COMP/MS_Q16_COMP_13_CVS_Crowd1_03	Давайте вернем магию!
Mainstreet/Q16/COMP/MS_Q16_COMP_14_CVS_Crowd1,2,3_01	
Mainstreet/Q16/COMP/MS_Q16_COMP_15_CVS_Crowd1,2,3_01	Магия! Магия! Магия!
Mainstreet/Q16/EV_01/MS_Q16_EV_01_01_GP_Crowd1_01	Не могу сейчас говорить!
Mainstreet/Q16/EV_02/MS_Q16_EV_02_01_GP_Crowd2_01	Неужели не видишь. Я тут протестую, вообще-то!
Mainstreet/Q16/EV_03/MS_Q16_EV_03_01_GP_Crowd3_01	Я слушаю только пони, говорящих с высоких платформ и тому подобное!
Mainstreet/Q16/START/MS_Q16_START_01_CGP_SN_01	Он там! Нужно как-нибудь разогнать толпу!
Mainstreet/Q16/START/MS_Q16_START_02_CGP_SN_02	Если бы только можно было привлечь внимание всех сразу. Нужно найти место повыше.
Mainstreet/Q16/TOOFAR/MS_Q16_TOOFAR_01_GP_SN_01	Сейчас не время сдаваться! Нужно догнать Спраута.
Mainstreet/Q4/ACCEPTED/MS_Q4_ACCEPTED_01_CVS_SN_01	Ага! То есть... Так точно!
Mainstreet/Q4/ACCEPTED/MS_Q4_ACCEPTED_02_CVS_Thunder_02	
Mainstreet/Q4/COMP/MS_Q4_COMP_01_CVS_Thunder_01	Молодец, кадет Старскаут!
Mainstreet/Q4/COMP/MS_Q4_COMP_02_CVS_Thunder_02	У тебя неплохо получается. Ты это заслужила.
Mainstreet/Q4/DECLINED/MS_Q4_DECLINED_01_CVS_SN_01	Не готова...
Mainstreet/Q4/DECLINED/MS_Q4_DECLINED_02_CVS_Thunder_02	Как скучно! Рано или поздно всем придется это сделать.
Mainstreet/Q4/POST_01/MS_Q4_POST_01_01_GP_Thunder_01	К.Р.И.Л.О. означает «Крайне расчудесный институт левитационных облетов». Правда же круто?
Mainstreet/Q4/QUESTION/MS_Q4_QUESTION_01_CVS_Thunder_01	Готова начать тренировку?
Mainstreet/Q4/RETACPTD/MS_Q4_RETACPTD_01_CVS_SN_01	А как же!
Mainstreet/Q4/RETDCLND/MS_Q4_RETDCLND_01_CVS_SN_01	Не сейчас...
Mainstreet/Q4/RETRY/MS_Q4_RETRY_01_CVS_Thunder_01	Хочешь попробовать еще раз, кадет Старскаут?
Mainstreet/Q4/START/MS_Q4_START_01_CVS_Thunder_01	Ах... Эй! А ты куда?
Mainstreet/Q4/START/MS_Q4_START_02_CVS_SN_01	На Пипп-пипп-парад... сэр?
Mainstreet/Q4/START/MS_Q4_START_03_CVS_Thunder_02	Неправильно! Санни Старскаут?
Mainstreet/Q4/START/MS_Q4_START_04_CVS_Thunder_03	Тебя автоматически записали на учебу в Летную академию К.Р.И.Л.О.
Mainstreet/Q4/START/MS_Q4_START_05_CVS_Thunder_04	Пока ты на уровне «крылатая пони-новичок», поэтому тебе нужно срочно начать тренироваться.
Mainstreet/Q4/START/MS_Q4_START_06_CVS_SN_02	Но я же почти не умею летать.
Mainstreet/Q4/START/MS_Q4_START_07_CVS_Thunder_05	Ну... В этом всё дело, правда?
Mainstreet/Q4/START/MS_Q4_START_08_CVS_SN_03	Наверное, да...
Mainstreet/Q4/START/MS_Q4_START_09_CVS_Thunder_06	Сначала проверим, что ты умеешь на земле. На полосе препятствий.
Mainstreet/Q4/START/MS_Q4_START_10_CVS_Thunder_07	Вовремя хватай кристаллы, если хочешь получить крылья.
Mainstreet/Q5/COMP/MS_Q5_COMP_01_CS_PP_01	Ох, БОЛЬШОЕ тебе спасибо, Санни!
Mainstreet/Q5/COMP/MS_Q5_COMP_02_CS_SN_01	Все что угодно для Дня Игогойского залива!
Mainstreet/Q5/COMP/MS_Q5_COMP_03_CS_PP_02	Я буду ждать тебя у Загривной мелодии! Соберется толпа!
Mainstreet/Q5/COMP/MS_Q5_COMP_04_CS_PP_03	Все пони придут! Шоу вот-вот начнется!
Mainstreet/Q5/EV_01/MS_Q5_EV_01_01_GP_SN_01	Главный подозреваемый — единорог... Хм-м.
Mainstreet/Q5/EV_02/MS_Q5_EV_02_01_GP_SN_01	У того, кто это сделал, мех фиолетового цвета.
Mainstreet/Q5/EV_03/MS_Q5_EV_03_01_GP_SN_01	У вредителя длинная голубая грива.
Mainstreet/Q5/EV_04/MS_Q5_EV_04_01_CVS_Sprout_01	Прекрасно сработано, сыщик!
Mainstreet/Q5/EV_04/MS_Q5_EV_04_02_CVS_Sprout_02	Значит, единорог с фиолетовым мехом и длинной голубой гривой, да?
Mainstreet/Q5/EV_04/MS_Q5_EV_04_03_CVS_Sprout_03	Мне кажется, ясно, кто это сделал, Санни.
Mainstreet/Q5/EV_04/MS_Q5_EV_04_04_CVS_SN_01	Нет! Иззи никогда бы такого не сделала.
Mainstreet/Q5/EV_04/MS_Q5_EV_04_05_CVS_Sprout_04	Мне жаль, но я должен ее арестовать. Я же шериф.
Mainstreet/Q5/EV_04/MS_Q5_EV_04_06_CVS_SN_02	Нет, подожди! Я поговорю с ней.
Mainstreet/Q5/EV_04/MS_Q5_EV_04_07_CVS_Sprout_05	Тогда попробуй найти ее раньше, чем я ее найду.
Mainstreet/Q5/EV_05/MS_Q5_EV_05_01_GP_SN_01	Точно. Мне нужно ее найти.
Mainstreet/Q5/EV_06/MS_Q5_EV_06_01_CVS_IZ_01	Эй, Санни! Что может быть лучше Дня Игогойского залива?
Mainstreet/Q5/EV_06/MS_Q5_EV_06_02_CVS_SN_01	Слушай... Кто-то испортил рекламный щит Пиппы...
Mainstreet/Q5/EV_06/MS_Q5_EV_06_03_CVS_IZ_02	О нет! Это ужасно.
Mainstreet/Q5/EV_06/MS_Q5_EV_06_04_CVS_IZ_03	У меня есть идея! Можно его пони-починить.
Mainstreet/Q5/EV_06/MS_Q5_EV_06_05_CVS_SN_02	Да! Им станет ясно, что это не твоих рук дело.
Mainstreet/Q5/EV_06/MS_Q5_EV_06_06_CVS_IZ_04	Что не моих рук дело?
Mainstreet/Q5/EV_06/MS_Q5_EV_06_07_CVS_SN_03	Ничего! Что нам для этого нужно?
Mainstreet/Q5/EV_06/MS_Q5_EV_06_08_CVS_IZ_05	Краска! Розовая краска. И побольше! Принесешь мне?
Mainstreet/Q5/EV_06/MS_Q5_EV_06_09_CVS_SN_04	Краска, ага. Будет сделано!
Mainstreet/Q5/EV_07/MS_Q5_EV_07_01_CVS_PaintShop_01	О, привет! Тебе нужна краска?
Mainstreet/Q5/EV_07/MS_Q5_EV_07_02_CVS_SN_01	Да! Мне нужно много розовой краски.
Mainstreet/Q5/EV_07/MS_Q5_EV_07_03_CVS_PaintShop_02	Прекрасно! А что у тебя есть для обмена?
Mainstreet/Q5/EV_07/MS_Q5_EV_07_04_CVS_SN_02	Обмена?
Mainstreet/Q5/EV_07/MS_Q5_EV_07_05_CVS_PaintShop_03	Сегодня же День Игогойского залива! Деньги запрещены. Можно только обмениваться.
Mainstreet/Q5/EV_07/MS_Q5_EV_07_06_CVS_PaintShop_04	Для магазина это не очень удобно, зато повышает настроение.
Mainstreet/Q5/EV_07/MS_Q5_EV_07_07_CVS_SN_03	А что ты хочешь в обмен на краску?
Mainstreet/Q5/EV_07/MS_Q5_EV_07_08_CVS_PaintShop_05	Ну... В детстве я хотел стать стражником-пегасом.
Mainstreet/Q5/EV_07/MS_Q5_EV_07_09_CVS_PaintShop_06	Магазин — это, конечно, классно...
